ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,MembraneStatus,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
14,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0001.jpg,0,none,hp,cntrl,1,p1,0,7388,159,79,1.011933867,0.490620988,1,0.80593433,0.879968794,103.8667053,103.3682737,44.10215414,16.04018906,14.14213562,88,90.50665099,-89.82486274,324.814,0.981337584,0,0,0,0,0,160.7808609,76.8171359,1,1
14,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0001.jpg,0,none,hp,cntrl,1,p1,0,544,15,80,1.075616447,0.654976473,1,0.725333333,0.739021852,30.82623416,30.61045573,10.44030651,4.216643238,4,23.03606688,23.29382134,19.18900264,96.178,0.920473773,0,0,0,0,0,14.66360294,81.37683824,2,0
15,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0002.jpg,0,none,hp,cntrl,2,p1,0,5432,161,63,1.004390845,0.392413849,1,0.788617886,0.901582217,86.63483896,88.141931,39.20459157,13.91698826,12.18604034,78.93214671,79.68575147,-60.99600137,275.158,0.979091565,0,0,0,0,0,161.0034978,61.56351252,1,1
15,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0002.jpg,0,none,hp,cntrl,2,p1,0,180,14,86,1.014574977,0.379281323,1,0.705882353,0.871831779,15.88756103,16.1245155,7,2.797799793,2.236067977,13.86750491,14.70046479,-84.83222495,50.936,0.930232558,0,0,0,0,0,14.4,85.68888889,2,0
16,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0003.jpg,0,none,hp,cntrl,3,p1,0,7039,160,51,1.014704754,0.520701006,1,0.807966024,0.882624197,102.4139765,101.6366076,42.44997055,15.65677581,13.92838828,85.6296699,87.43481686,-69.99658583,316.572,0.981113666,0,0,0,0,0,160.1223185,49.48941611,1,1
16,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0003.jpg,0,none,hp,cntrl,3,p1,0,129,32,116,1.022706555,0.419055212,1,0.708791209,0.84244878,13.63546991,13.92838828,5.830951895,2.424902502,2,11.62755348,12.38047153,27.41144047,43.866,0.934782609,0,0,0,0,0,32.31782946,116.3333333,2,0
17,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0004.jpg,0,none,hp,cntrl,4,p1,0,6888,159,59,1.002537731,0.284296559,1,0.805614035,0.884566808,95.57918801,97.65244493,44.77722635,15.59729099,13.89244399,89,91.63524571,60.58382588,312.814,0.980428439,0,0,0,0,0,158.485482,58.84552846,1,1
17,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0004.jpg,0,none,hp,cntrl,4,p1,0,333,13,104,1.047567215,0.641952038,1,0.756818182,0.788141577,23.69878366,24.04163056,8.94427191,3.540393306,3,17.39252713,18.17091902,-27.5578278,72.866,0.943342776,0,0,0,0,0,14.05105105,103.6846847,2,0
18,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_0005.jpg,0,none,hp,cntrl,5,p1,0,6293,156,59,1.010696323,0.470959452,1,0.785839161,0.867149497,95.29951502,98.60020284,41.77319715,14.76385215,13,84.37298146,84.06893021,-34.36788577,301.986,0.976491582,0,0,0,0,0,157.5491816,57.79834737,1,1
19,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0000.jpg,0,membrane,hp,cntrl,0,p1,0,8339,174,52,1.026664044,0.422120003,1,0.827281746,0.853328643,109.2188315,113.2254388,50,19.87550701,18.38477631,95,99.01123537,73.32549548,350.432,0.979330593,0,0,0,0,0,161.341168,51.19954431,1,0
20,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0001.jpg,0,membrane,hp,cntrl,1,p1,0,455,24,118,1.049781905,0.561920543,1,0.760869565,0.774231774,26.90927809,29.68164416,11.18033989,4.042493889,3.605551275,22,22.25911839,25.11809224,85.936,0.933333333,0,0,0,0,0,23.44615385,117.3604396,1,0
21,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0002.jpg,0,membrane,hp,cntrl,2,p1,0,5736,152,46,1.018414864,0.503908419,1,0.735196104,0.846054672,92.17143316,93.90420651,37.33630941,13.82970569,12.20655562,75.71751069,79.61372862,-12.38139952,291.884,0.972450623,0,0,0,0,0,156.944735,44.76377266,1,2
21,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0002.jpg,0,membrane,hp,cntrl,2,p1,0,42,38,105,1.102491753,0.63115938,1,0.75,0.752474862,8.664116048,8.062257748,3,1.534193476,1.207106781,5.753964556,6.720349059,-2.067756472,26.484,0.893617021,0,0,0,0,0,38.0952381,104.952381,2,0
22,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0003.jpg,0,membrane,hp,cntrl,3,p1,0,254,41,135,1.189329828,0.8151513,1,0.690217391,0.734172962,24.05233279,22.84731932,6.32455532,2.85108512,2.828427125,13.53201332,13.93226799,-78.48882401,65.936,0.89122807,0,0,0,0,0,39.93307087,138.5708661,1,0
23,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0004.jpg,0,membrane,hp,cntrl,4,p1,0,5171,153,49,1.005685514,0.410549479,1,0.769150677,0.87618019,84.92026934,86.55634003,38.18376618,13.50412728,12,76.8,77.4335559,-58.48055109,272.33,0.977135299,0,0,0,0,0,152.6230903,50.39315413,1,0
23,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0004.jpg,0,membrane,hp,cntrl,4,p1,0,528,20,120,1.137525658,0.768460439,1,0.774193548,0.786750059,32.96940765,31.04834939,10.29563014,4.06825867,3.605551275,21,21.09703493,-3.370015211,91.834,0.923884514,0,0,0,0,0,24.21022727,120.3503788,2,0
24,1,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0005.jpg,0,membrane,hp,cntrl,5,p1,0,5801,156,36,1.052710893,0.676503774,1,0.749192819,0.871007445,100.2679235,101.2126474,36.76955262,14.80739571,13.89244399,72.83199846,73.84122585,45.22140528,289.298,0.983637134,0,0,0,0,0,157.6410964,39.99517325,1,0
24,2,file:///C:/Users/mb3ad/Desktop/Harrison/membrane/cntrl_hp-p1_mbrn0005.jpg,0,membrane,hp,cntrl,5,p1,0,804,33,107,1.101762036,0.734681967,1,0.729582577,0.800879523,39.31427387,39.66106403,13,5.137478889,4.472135955,26.63263594,26.67126258,65.14246245,112.318,0.952042629,0,0,0,0,0,31.87313433,107.4763682,2,0
