ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
54,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_hp-none_0005.jpg,0,hp,cntrl,0,none,0,4075,90.0,67.0,1.1472003159310464,0.69920396382867356,1.0,0.63080495356037147,0.63234362535081257,88.643385410893757,85.702975444263316,23.706539182259394,9.3048188652645525,8.6023252670426267,66.607998269922604,63.37312813772035,56.830391752574556,284.57199999999943,0.89916151809355671,0,0,0,0,0,92.278036809815944,75.928588957055211,1,1
55,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0000.jpg,0,p1,cntrl,0,none,0,5899,98.0,71.0,1.0027716756910647,0.35592667499120184,1.0,0.78863636363636369,0.90854016127964721,89.54548751661396,89.693923985964616,41.725292090050132,14.588626209866277,13.0,83.438600180012614,83.681501460352479,58.588752588351113,285.64199999999943,0.98259348713250572,0,0,0,0,0,98.478047126631637,71.281912188506524,1,1
56,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0001.jpg,0,p1,cntrl,0,none,0,7453,101.0,77.0,1.0028146902460284,0.12759874228946788,1.0,0.79211393346795622,0.89796549599251629,97.800849065667123,99.569071503153026,46.065171225124082,16.283832290583753,14.317821063276353,95.605950325053314,97.001412436358706,13.332219730093636,322.95399999999933,0.9816912539515279,0,0,0,0,0,101.75392459412318,76.979203005501134,1,1
57,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0002.jpg,0,p1,cntrl,0,none,0,8451,110.0,75.0,1.0066408261611741,0.40483117311554195,1.0,0.75970873786407767,0.86237622330773589,108.44800604383769,108.81176406988355,48.507731342539614,17.175252055973523,15.231546211727817,97.938082095415268,99.163929344270798,31.746330294596032,350.92199999999917,0.97999652113411051,0,0,0,0,0,112.00863803100225,76.553070642527516,1,1
58,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0003.jpg,0,p1,cntrl,0,none,0,8770,106.0,74.0,1.005556935140675,0.36342021853520878,1.0,0.76022884882108188,0.8713020098871056,109.4702731805352,112.17842929904127,49.193495504995376,17.465736860494999,15.524174696260024,98.984246630870913,101.98527874613646,5.5026649497200832,355.64799999999912,0.97994301357617741,0,0,0,0,0,106.67582668187001,74.683352337514251,1,1
59,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0004.jpg,0,p1,cntrl,0,none,0,5014,99.0,77.0,1.0040661858078459,0.36569694191661251,1.0,0.77376543209876547,0.88165524779942817,82.772396577696426,83.52843827104634,38.275318418009277,13.418442732395086,12.0,76.993664611082792,77.039082329729581,-41.72421892614954,267.32999999999947,0.97815060476004678,0,0,0,0,0,99.258476266453926,76.210410849621056,1,1
60,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-none_0005.jpg,0,p1,cntrl,0,none,0,6576,96.0,76.0,1.0087436487343049,0.46186491903253774,1.0,0.78660287081339708,0.8934383056405949,97.091185789865179,97.082439194738001,42.43819034784589,15.23016174334423,13.416407864998739,85.697724590563084,86.11505427817778,20.410382857781538,304.12599999999935,0.980248937914586,0,0,0,0,0,100.30930656934306,77.150699513381994,1,1
61,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0000.jpg,0,p1,cntrl,0,p1,0,10537,154.0,48.0,1.0687282219011283,0.63441124458009235,1.0,0.87241265110117572,0.80693945934310307,133.75009591060763,143.96180048887967,49.040799340956916,20.007020667752094,18.973665961010276,98.0,103.38825078978219,76.162284283009214,405.08199999999943,0.99087831483919542,0,0,0,0,0,159.17120622568095,57.050298946569235,1,1
62,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0001.jpg,0,p1,cntrl,0,p1,0,6490,162.0,41.0,1.0230064380056425,0.37292770223157939,1.0,0.878570461621768,0.84858929927791726,95.176423293107931,102.00490184299969,41.194659848091959,16.919454996838951,16.0,82.0,88.310434547360884,85.790580782343994,310.01199999999943,0.98737258481667423,0,0,0,0,0,164.89044684129431,41.633127889060091,1,1
62,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0001.jpg,0,p1,cntrl,0,p1,0,8758,34.0,107.0,1.0391229365879513,0.48685772181585601,1.0,0.85888006276355788,0.83262276475390884,114.46683875744539,122.42957159118053,55.461698495448189,24.431285421723576,24.166091947189145,98.0,99.984641634650089,60.159901985387393,363.56599999999963,0.99078002149442823,0,0,0,0,0,44.249372002740351,106.01221740123316,2,2
