ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
8,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0000.jpg,0,hi,benzo,0,none,0,1355,99,87,1.020961805,0.569015448,1,0.769886364,0.86733345,45.83227515,46.64761516,18.60107524,6.976951672,6.08276253,36.76955262,37.68910966,33.86514981,140.114,0.962016329,0,0,0,0,0,99.53948339,87.35719557,1,1
9,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0001.jpg,0,hi,benzo,0,none,0,1872,77,53,1.069939649,0.644717211,1,0.722222222,0.664773153,56.70253017,59.48108943,19.10497317,7.149300957,6.403124237,44.05439602,43.34461419,59.78657703,188.114,0.928341185,0,0,0,0,0,81.71527778,57.56143162,1,1
10,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0002.jpg,0,hi,benzo,0,none,0,1940,94,95,1.054458178,0.62522221,1,0.694593627,0.825894986,56.86053833,56.56854249,20.24845673,7.833607097,7.071067812,44.07095166,44.37662448,75.36509753,171.808,0.948887258,0,0,0,0,0,91.65103093,91.97731959,1,1
11,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0003.jpg,0,hi,benzo,0,none,0,1429,93,73,1.009387187,0.280626656,1,0.755285412,0.873796586,43.71193735,44.64302857,19.6977156,7.201284532,6.32455532,40.74923312,41.95546072,-6.651076721,143.356,0.96391231,0,0,0,0,0,93.43596921,72.05038488,1,1
12,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0004.jpg,0,hi,benzo,0,none,0,1475,91,81,1.021784022,0.541901254,1,0.761880165,0.875202929,47.40945919,47.4341649,19.10497317,7.235031653,6.403124237,38.96051762,39.84490847,-48.5805129,145.528,0.964998364,0,0,0,0,0,92.02711864,78.87118644,1,1
13,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-none_0005.jpg,0,hi,benzo,0,none,0,1379,88,74,1.003136408,0.273720094,1,0.800813008,0.896333492,42.76665157,43.60045871,20,7.174647019,6.32455532,40,41.13336723,-34.89166018,139.044,0.965348267,0,0,0,0,0,87.8071066,74.06526468,1,1
14,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0000.jpg,0,hi,benzo,0,p1,0,1141,17,77,1.047725163,0.628048302,1,0.724444444,0.836252768,43.53991243,44.72135955,16.4924225,6.188505919,5.385164807,33.86148254,33.88164338,74.31261789,130.942,0.949646275,0,0,0,0,0,18.20946538,78.87992989,1,1
14,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0000.jpg,0,hi,benzo,0,p1,0,19634,131,69,1.025224617,0.397621731,1,0.867302765,0.824010646,166.5030707,175.6018223,71.34423593,25.92842163,23.34523506,146,152.7747979,73.53867721,547.196,0.981184878,0,0,0,0,0,136.5094224,74.01945605,2,0
15,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0001.jpg,0,hi,benzo,0,p1,0,1570,24,66,1.103922663,0.677667493,1,0.696539485,0.731269748,53.49376801,54.64430437,17.72004515,6.598645066,5.830951895,40.82706596,39.33762969,61.95781435,164.254,0.909354185,0,0,0,0,0,26.40191083,71.71401274,1,4
15,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0001.jpg,0,hi,benzo,0,p1,0,19007,136,81,1.040959577,0.516420023,1,0.90089108,0.80796991,170.1681413,181.463495,67.68308504,26.75056172,25,136,145.7210075,-89.37409061,543.706,0.98369734,0,0,0,0,0,141.0609775,76.78450045,2,1
16,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0002.jpg,0,hi,benzo,0,p1,0,1509,22,75,1.084492126,0.529841554,1,0.683423913,0.635791077,49.21201247,56.72741841,17.49285568,6.506828886,5.830951895,39.55310703,41.73654292,-36.31487256,172.7,0.89608076,0,0,0,0,0,22.14049039,73.17428761,1,1
16,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0002.jpg,0,hi,benzo,0,p1,0,17174,140,73,1.04651549,0.588258057,1,0.871245942,0.810378031,166.035834,172.3629891,63,23.40617896,21,127,134.2687409,79.49557878,516.056,0.982213326,0,0,0,0,0,145.5729009,74.35233492,2,0
17,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0003.jpg,0,hi,benzo,0,p1,0,993,20,78,1.034083938,0.510091569,1,0.813267813,0.834023657,38.7725326,39,15.5241747,5.795984594,5,31.95016867,33.34903472,-78.52880472,122.318,0.957569913,0,0,0,0,0,18.52769386,76.96878147,1,1
17,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0003.jpg,0,hi,benzo,0,p1,0,16849,139,78,1.029447015,0.511605071,1,0.839762759,0.812092243,159.1080184,162.2004932,64.07807737,23.18542125,20.59126028,130.687173,136.7089066,-89.93416506,510.61,0.976923523,0,0,0,0,0,143.6371298,73.26535699,2,0
18,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0004.jpg,0,hi,benzo,0,p1,0,1653,28,73,1.098202762,0.545102176,1,0.522770398,0.558769404,52.07471335,61.03277808,18.02775638,6.283981489,5.385164807,41.96035865,43.65785759,52.10901027,192.808,0.837173968,0,0,0,0,0,27.50453721,72.67392619,1,3
19,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0005.jpg,0,hi,benzo,0,p1,0,852,19,78,1.018979966,0.534955797,1,0.739583333,0.872075849,35.92862388,36.138622,14.86606875,5.585628367,5,29.87564316,30.35537746,78.76422281,110.802,0.951955307,0,0,0,0,0,18.16549296,77.32981221,1,1
19,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-p1_0005.jpg,0,hi,benzo,0,p1,0,18163,140,65,1.038529909,0.533629312,1,0.880160884,0.827153196,167.0281701,171.0116955,66.48308055,25.86686102,24,133,141.2588111,87.09051751,525.298,0.987495243,0,0,0,0,0,143.6671805,75.43506029,2,0
20,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0000.jpg,0,hi,benzo,0,s,0,136,157,27,37.25221731,0.949307633,10,0.025520736,0.055562111,108.1988071,96.16652224,2,1.15798001,1,33.23401872,34.0121393,42.24913244,175.382,0.056431535,0,0,0,0,0,164.2720588,36.44117647,1,1
20,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0000.jpg,0,hi,benzo,0,s,0,1112,26,85,1.013687143,0.512552835,1,0.817647059,0.844139174,40.6479346,40.26164428,17,6.419478789,5.830951895,33,34.90258026,-80.35216019,128.662,0.963604853,0,0,0,0,0,25.27158273,85.63489209,2,2
20,3,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0000.jpg,0,hi,benzo,0,s,0,8094,153,77,1.001922458,0.273877915,1,0.786130536,0.88710189,103.4127421,103.8556691,49,16.92763716,14.86606875,98,99.45870068,11.54019201,338.61,0.980734278,0,0,0,0,0,152.5313813,76.38423524,3,1
21,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0001.jpg,0,hi,benzo,0,s,0,1742,13,79,1.059267,0.656767734,1,0.821698113,0.834386752,54.70034965,53.31041174,24.08318916,9.784738839,9,39,41.2491468,-86.8619601,161.974,0.968584932,0,0,0,0,0,17.49540758,79.63375431,1,1
